travelCode;userCode;name;place;days;price;total;date
213;2;Hotel K;Salvador (BH);3;263.41;790.23;2021/12/30
214;2;Hotel AU;Recife (PE);1;312.83;312.83;2022/01/06
219;2;Hotel A;Florianopolis (SC);2;313.02;626.04;2022/02/10
221;2;Hotel K;Salvador (BH);1;263.41;263.41;2022/02/24
224;2;Hotel BP;Brasilia (DF);3;247.62;742.86;2022/03/17
225;2;Hotel BD;Natal (RN);4;242.88;971.52;2022/03/24
233;3;Hotel A;Florianopolis (SC);2;313.02;626.04;2019/11/14
235;3;Hotel A;Florianopolis (SC);3;313.02;939.06;2019/11/28
238;3;Hotel A;Florianopolis (SC);2;313.02;626.04;2019/12/19
239;3;Hotel A;Florianopolis (SC);2;313.02;626.04;2019/12/26
240;3;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/01/02
241;3;Hotel A;Florianopolis (SC);1;313.02;313.02;2020/01/09
243;3;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2020/01/23
244;3;Hotel AU;Recife (PE);4;312.83;1251.32;2020/01/30
246;3;Hotel AU;Recife (PE);2;312.83;625.66;2020/02/13
248;3;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/02/27
255;3;Hotel A;Florianopolis (SC);1;313.02;313.02;2020/04/16
259;3;Hotel BD;Natal (RN);2;242.88;485.76;2020/05/14
263;3;Hotel BW;Campo Grande (MS);3;60.39;181.17;2020/06/11
269;3;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2020/07/23
275;3;Hotel BD;Natal (RN);2;242.88;485.76;2020/09/03
279;3;Hotel BD;Natal (RN);1;242.88;242.88;2020/10/01
283;3;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2020/10/29
287;3;Hotel AU;Recife (PE);1;312.83;312.83;2020/11/26
290;3;Hotel BW;Campo Grande (MS);1;60.39;60.39;2020/12/17
291;3;Hotel K;Salvador (BH);1;263.41;263.41;2020/12/24
295;3;Hotel BD;Natal (RN);4;242.88;971.52;2021/01/21
296;3;Hotel AU;Recife (PE);3;312.83;938.49;2021/01/28
299;3;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2021/02/18
300;3;Hotel K;Salvador (BH);3;263.41;790.23;2021/02/25
303;3;Hotel BW;Campo Grande (MS);1;60.39;60.39;2021/03/18
305;3;Hotel BD;Natal (RN);4;242.88;971.52;2021/04/01
306;3;Hotel A;Florianopolis (SC);3;313.02;939.06;2021/04/08
307;3;Hotel BD;Natal (RN);2;242.88;485.76;2021/04/15
311;3;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2021/05/13
315;3;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/06/10
322;3;Hotel BD;Natal (RN);1;242.88;242.88;2021/07/29
325;3;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/08/19
337;3;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/11/11
338;3;Hotel Z;Aracaju (SE);3;208.04;624.12;2021/11/18
347;3;Hotel BP;Brasilia (DF);1;247.62;247.62;2022/01/20
350;3;Hotel BD;Natal (RN);1;242.88;242.88;2022/02/10
363;3;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2022/05/12
369;3;Hotel AU;Recife (PE);3;312.83;938.49;2022/06/23
373;3;Hotel BW;Campo Grande (MS);4;60.39;241.56;2022/07/21
377;3;Hotel A;Florianopolis (SC);4;313.02;1252.08;2022/08/18
382;3;Hotel K;Salvador (BH);2;263.41;526.82;2022/09/22
383;3;Hotel A;Florianopolis (SC);2;313.02;626.04;2022/09/29
385;3;Hotel BW;Campo Grande (MS);2;60.39;120.78;2022/10/13
387;3;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2022/10/27
388;3;Hotel BD;Natal (RN);4;242.88;971.52;2022/11/03
394;3;Hotel K;Salvador (BH);4;263.41;1053.64;2022/12/15
397;3;Hotel AU;Recife (PE);4;312.83;1251.32;2023/01/05
398;3;Hotel BW;Campo Grande (MS);4;60.39;241.56;2023/01/12
403;3;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2023/02/16
404;3;Hotel Z;Aracaju (SE);1;208.04;208.04;2023/02/23
406;3;Hotel BD;Natal (RN);2;242.88;485.76;2023/03/09
408;3;Hotel K;Salvador (BH);1;263.41;263.41;2023/03/23
409;3;Hotel K;Salvador (BH);3;263.41;790.23;2023/03/30
410;3;Hotel BW;Campo Grande (MS);3;60.39;181.17;2023/04/06
412;3;Hotel A;Florianopolis (SC);2;313.02;626.04;2023/04/20
415;3;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2023/05/11
417;3;Hotel BD;Natal (RN);2;242.88;485.76;2023/05/25
418;3;Hotel AU;Recife (PE);1;312.83;312.83;2023/06/01
419;3;Hotel BW;Campo Grande (MS);2;60.39;120.78;2023/06/08
424;3;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2023/07/13
426;4;Hotel AU;Recife (PE);2;312.83;625.66;2019/10/03
431;4;Hotel AU;Recife (PE);4;312.83;1251.32;2019/11/07
432;4;Hotel AU;Recife (PE);3;312.83;938.49;2019/11/14
440;4;Hotel K;Salvador (BH);3;263.41;790.23;2020/01/09
442;4;Hotel Z;Aracaju (SE);2;208.04;416.08;2020/01/23
445;4;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2020/02/13
447;4;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2020/02/27
450;4;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/03/19
452;4;Hotel A;Florianopolis (SC);1;313.02;313.02;2020/04/02
456;4;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2020/04/30
457;4;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/05/07
468;4;Hotel Z;Aracaju (SE);1;208.04;208.04;2020/07/23
473;4;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2020/08/27
481;4;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/10/22
486;4;Hotel Z;Aracaju (SE);4;208.04;832.16;2020/11/26
490;4;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2020/12/24
491;4;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/12/31
494;4;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2021/01/21
498;4;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2021/02/18
500;4;Hotel K;Salvador (BH);2;263.41;526.82;2021/03/04
501;4;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2021/03/11
503;4;Hotel A;Florianopolis (SC);2;313.02;626.04;2021/03/25
505;4;Hotel A;Florianopolis (SC);2;313.02;626.04;2021/04/08
514;4;Hotel AU;Recife (PE);3;312.83;938.49;2021/06/10
517;4;Hotel BD;Natal (RN);4;242.88;971.52;2021/07/01
529;4;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2021/09/23
532;4;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2021/10/14
537;4;Hotel AU;Recife (PE);3;312.83;938.49;2021/11/18
541;4;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/12/16
543;4;Hotel BW;Campo Grande (MS);3;60.39;181.17;2021/12/30
545;4;Hotel BW;Campo Grande (MS);1;60.39;60.39;2022/01/13
548;4;Hotel BW;Campo Grande (MS);2;60.39;120.78;2022/02/03
555;4;Hotel A;Florianopolis (SC);1;313.02;313.02;2022/03/24
556;4;Hotel K;Salvador (BH);3;263.41;790.23;2022/03/31
557;4;Hotel K;Salvador (BH);1;263.41;263.41;2022/04/07
559;4;Hotel K;Salvador (BH);2;263.41;526.82;2022/04/21
562;4;Hotel BD;Natal (RN);2;242.88;485.76;2022/05/12
564;4;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2022/05/26
565;4;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2022/06/02
574;4;Hotel BP;Brasilia (DF);4;247.62;990.48;2022/08/04
578;4;Hotel Z;Aracaju (SE);3;208.04;624.12;2022/09/01
581;4;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2022/09/22
582;4;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2022/09/29
586;4;Hotel K;Salvador (BH);2;263.41;526.82;2022/10/27
587;4;Hotel K;Salvador (BH);1;263.41;263.41;2022/11/03
588;4;Hotel BD;Natal (RN);2;242.88;485.76;2022/11/10
590;4;Hotel AU;Recife (PE);2;312.83;625.66;2022/11/24
591;4;Hotel AU;Recife (PE);4;312.83;1251.32;2022/12/01
596;4;Hotel BP;Brasilia (DF);1;247.62;247.62;2023/01/05
598;4;Hotel BD;Natal (RN);4;242.88;971.52;2023/01/19
604;4;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2023/03/02
605;4;Hotel A;Florianopolis (SC);4;313.02;1252.08;2023/03/09
609;4;Hotel BW;Campo Grande (MS);2;60.39;120.78;2023/04/06
619;4;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2023/06/15
621;4;Hotel BP;Brasilia (DF);4;247.62;990.48;2023/06/29
623;4;Hotel BD;Natal (RN);4;242.88;971.52;2023/07/13
624;5;Hotel K;Salvador (BH);2;263.41;526.82;2019/09/26
638;5;Hotel K;Salvador (BH);1;263.41;263.41;2020/01/02
643;5;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2020/02/06
644;5;Hotel K;Salvador (BH);1;263.41;263.41;2020/02/13
646;5;Hotel K;Salvador (BH);3;263.41;790.23;2020/02/27
648;5;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2020/03/12
658;5;Hotel BD;Natal (RN);1;242.88;242.88;2020/05/21
668;5;Hotel BW;Campo Grande (MS);1;60.39;60.39;2020/07/30
670;5;Hotel K;Salvador (BH);3;263.41;790.23;2020/08/13
676;5;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/09/24
680;5;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2020/10/22
683;5;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2020/11/12
687;5;Hotel Z;Aracaju (SE);1;208.04;208.04;2020/12/10
688;6;Hotel BD;Natal (RN);3;242.88;728.64;2019/09/26
690;6;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2019/10/10
695;6;Hotel A;Florianopolis (SC);2;313.02;626.04;2019/11/14
696;6;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2019/11/21
698;6;Hotel AU;Recife (PE);1;312.83;312.83;2019/12/05
699;6;Hotel BW;Campo Grande (MS);4;60.39;241.56;2019/12/12
701;6;Hotel BP;Brasilia (DF);4;247.62;990.48;2019/12/26
707;6;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/02/06
711;6;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2020/03/05
712;6;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/03/12
718;6;Hotel K;Salvador (BH);4;263.41;1053.64;2020/04/23
719;6;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2020/04/30
723;6;Hotel BP;Brasilia (DF);2;247.62;495.24;2020/05/28
739;6;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2020/09/17
745;6;Hotel K;Salvador (BH);1;263.41;263.41;2020/10/29
746;6;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2020/11/05
747;6;Hotel BD;Natal (RN);4;242.88;971.52;2020/11/12
749;6;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/11/26
753;6;Hotel BP;Brasilia (DF);2;247.62;495.24;2020/12/24
754;6;Hotel BD;Natal (RN);2;242.88;485.76;2020/12/31
755;6;Hotel K;Salvador (BH);1;263.41;263.41;2021/01/07
762;6;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/02/25
767;6;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2021/04/01
778;7;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2019/11/21
787;7;Hotel BW;Campo Grande (MS);1;60.39;60.39;2020/01/23
788;7;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/01/30
793;7;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2020/03/05
795;7;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/03/19
803;7;Hotel BW;Campo Grande (MS);4;60.39;241.56;2020/05/14
805;7;Hotel Z;Aracaju (SE);2;208.04;416.08;2020/05/28
806;7;Hotel AU;Recife (PE);3;312.83;938.49;2020/06/04
808;7;Hotel BD;Natal (RN);3;242.88;728.64;2020/06/18
809;7;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/06/25
812;7;Hotel BD;Natal (RN);2;242.88;485.76;2020/07/16
815;7;Hotel AU;Recife (PE);3;312.83;938.49;2020/08/06
817;7;Hotel BD;Natal (RN);2;242.88;485.76;2020/08/20
819;7;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/09/03
823;8;Hotel K;Salvador (BH);4;263.41;1053.64;2019/10/03
826;8;Hotel A;Florianopolis (SC);3;313.02;939.06;2019/10/24
827;8;Hotel AU;Recife (PE);4;312.83;1251.32;2019/10/31
830;8;Hotel BD;Natal (RN);4;242.88;971.52;2019/11/21
834;8;Hotel BP;Brasilia (DF);2;247.62;495.24;2019/12/19
836;8;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2020/01/02
838;8;Hotel BD;Natal (RN);1;242.88;242.88;2020/01/16
840;8;Hotel Z;Aracaju (SE);1;208.04;208.04;2020/01/30
852;8;Hotel A;Florianopolis (SC);1;313.02;313.02;2020/04/23
857;8;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2020/05/28
861;8;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2020/06/25
862;8;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2020/07/02
864;8;Hotel BP;Brasilia (DF);2;247.62;495.24;2020/07/16
865;8;Hotel BW;Campo Grande (MS);3;60.39;181.17;2020/07/23
869;8;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/08/20
871;8;Hotel BD;Natal (RN);4;242.88;971.52;2020/09/03
892;8;Hotel A;Florianopolis (SC);2;313.02;626.04;2021/01/28
894;8;Hotel BP;Brasilia (DF);3;247.62;742.86;2021/02/11
900;8;Hotel BD;Natal (RN);2;242.88;485.76;2021/03/25
904;8;Hotel AU;Recife (PE);4;312.83;1251.32;2021/04/22
907;8;Hotel AU;Recife (PE);3;312.83;938.49;2021/05/13
911;8;Hotel BD;Natal (RN);4;242.88;971.52;2021/06/10
913;8;Hotel A;Florianopolis (SC);1;313.02;313.02;2021/06/24
914;8;Hotel BD;Natal (RN);3;242.88;728.64;2021/07/01
917;8;Hotel BD;Natal (RN);3;242.88;728.64;2021/07/22
919;8;Hotel BW;Campo Grande (MS);4;60.39;241.56;2021/08/05
920;8;Hotel BD;Natal (RN);4;242.88;971.52;2021/08/12
922;8;Hotel AU;Recife (PE);4;312.83;1251.32;2021/08/26
923;8;Hotel A;Florianopolis (SC);4;313.02;1252.08;2021/09/02
925;8;Hotel BW;Campo Grande (MS);1;60.39;60.39;2021/09/16
928;8;Hotel BW;Campo Grande (MS);1;60.39;60.39;2021/10/07
932;8;Hotel K;Salvador (BH);2;263.41;526.82;2021/11/04
935;8;Hotel BD;Natal (RN);3;242.88;728.64;2021/11/25
938;8;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2021/12/16
942;8;Hotel BW;Campo Grande (MS);1;60.39;60.39;2022/01/13
944;8;Hotel AU;Recife (PE);3;312.83;938.49;2022/01/27
945;8;Hotel BD;Natal (RN);1;242.88;242.88;2022/02/03
948;8;Hotel BD;Natal (RN);4;242.88;971.52;2022/02/24
950;8;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2022/03/10
957;8;Hotel Z;Aracaju (SE);4;208.04;832.16;2022/04/28
958;8;Hotel BD;Natal (RN);2;242.88;485.76;2022/05/05
962;8;Hotel AU;Recife (PE);2;312.83;625.66;2022/06/02
966;8;Hotel Z;Aracaju (SE);2;208.04;416.08;2022/06/30
967;8;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2022/07/07
969;8;Hotel BW;Campo Grande (MS);2;60.39;120.78;2022/07/21
970;8;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2022/07/28
972;8;Hotel AU;Recife (PE);3;312.83;938.49;2022/08/11
974;8;Hotel A;Florianopolis (SC);1;313.02;313.02;2022/08/25
977;8;Hotel AU;Recife (PE);4;312.83;1251.32;2022/09/15
984;8;Hotel Z;Aracaju (SE);4;208.04;832.16;2022/11/03
987;8;Hotel Z;Aracaju (SE);1;208.04;208.04;2022/11/24
988;8;Hotel K;Salvador (BH);4;263.41;1053.64;2022/12/01
997;9;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2019/09/26
998;9;Hotel BD;Natal (RN);2;242.88;485.76;2019/10/03
999;9;Hotel A;Florianopolis (SC);3;313.02;939.06;2019/10/10
1006;9;Hotel AU;Recife (PE);2;312.83;625.66;2019/11/28
1007;9;Hotel Z;Aracaju (SE);2;208.04;416.08;2019/12/05
1012;9;Hotel AU;Recife (PE);4;312.83;1251.32;2020/01/09
1014;9;Hotel BW;Campo Grande (MS);3;60.39;181.17;2020/01/23
1016;9;Hotel K;Salvador (BH);4;263.41;1053.64;2020/02/06
1018;9;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/02/20
1025;9;Hotel K;Salvador (BH);4;263.41;1053.64;2020/04/09
1034;9;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/06/11
1035;9;Hotel BW;Campo Grande (MS);4;60.39;241.56;2020/06/18
1038;9;Hotel BP;Brasilia (DF);1;247.62;247.62;2020/07/09
1041;9;Hotel Z;Aracaju (SE);4;208.04;832.16;2020/07/30
1048;9;Hotel A;Florianopolis (SC);3;313.02;939.06;2020/09/17
1051;9;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2020/10/08
1052;9;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/10/15
1053;9;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2020/10/22
1055;9;Hotel K;Salvador (BH);3;263.41;790.23;2020/11/05
1065;9;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/01/14
1067;9;Hotel K;Salvador (BH);3;263.41;790.23;2021/01/28
1077;9;Hotel BW;Campo Grande (MS);1;60.39;60.39;2021/04/08
1078;9;Hotel K;Salvador (BH);3;263.41;790.23;2021/04/15
1084;9;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2021/05/27
1090;9;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/07/08
1091;9;Hotel BW;Campo Grande (MS);2;60.39;120.78;2021/07/15
1093;9;Hotel BW;Campo Grande (MS);4;60.39;241.56;2021/07/29
1095;9;Hotel K;Salvador (BH);1;263.41;263.41;2021/08/12
1096;9;Hotel BW;Campo Grande (MS);3;60.39;181.17;2021/08/19
1101;9;Hotel BP;Brasilia (DF);3;247.62;742.86;2021/09/23
1103;9;Hotel AU;Recife (PE);4;312.83;1251.32;2021/10/07
1106;9;Hotel BW;Campo Grande (MS);3;60.39;181.17;2021/10/28
1113;10;Hotel BD;Natal (RN);1;242.88;242.88;2019/10/03
1119;10;Hotel K;Salvador (BH);3;263.41;790.23;2019/11/14
1125;10;Hotel BP;Brasilia (DF);4;247.62;990.48;2019/12/26
1133;10;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/02/20
1136;10;Hotel K;Salvador (BH);2;263.41;526.82;2020/03/12
1139;10;Hotel BW;Campo Grande (MS);1;60.39;60.39;2020/04/02
1144;10;Hotel BW;Campo Grande (MS);3;60.39;181.17;2020/05/07
1150;10;Hotel K;Salvador (BH);1;263.41;263.41;2020/06/18
1151;10;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2020/06/25
1157;10;Hotel BP;Brasilia (DF);3;247.62;742.86;2020/08/06
1160;10;Hotel K;Salvador (BH);3;263.41;790.23;2020/08/27
1162;10;Hotel BD;Natal (RN);1;242.88;242.88;2020/09/10
1164;10;Hotel BW;Campo Grande (MS);4;60.39;241.56;2020/09/24
1166;10;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/10/08
1167;10;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2020/10/15
1173;10;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/11/26
1174;10;Hotel BP;Brasilia (DF);1;247.62;247.62;2020/12/03
1177;11;Hotel BW;Campo Grande (MS);2;60.39;120.78;2019/10/03
1180;11;Hotel A;Florianopolis (SC);2;313.02;626.04;2019/10/24
1183;11;Hotel BP;Brasilia (DF);4;247.62;990.48;2019/11/14
1184;11;Hotel K;Salvador (BH);4;263.41;1053.64;2019/11/21
1188;11;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2019/12/19
1190;11;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2020/01/02
1192;11;Hotel K;Salvador (BH);2;263.41;526.82;2020/01/16
1193;11;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2020/01/23
1198;11;Hotel A;Florianopolis (SC);3;313.02;939.06;2020/02/27
1201;11;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/03/19
1202;11;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/03/26
1204;11;Hotel BP;Brasilia (DF);1;247.62;247.62;2020/04/09
1209;11;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2020/05/14
1213;11;Hotel BP;Brasilia (DF);1;247.62;247.62;2020/06/11
1220;11;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2020/07/30
1222;11;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/08/13
1226;11;Hotel BD;Natal (RN);3;242.88;728.64;2020/09/10
1227;11;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2020/09/17
1238;11;Hotel BD;Natal (RN);4;242.88;971.52;2020/12/03
1250;11;Hotel BD;Natal (RN);1;242.88;242.88;2021/02/25
1252;11;Hotel Z;Aracaju (SE);2;208.04;416.08;2021/03/11
1255;11;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2021/04/01
1257;11;Hotel BD;Natal (RN);3;242.88;728.64;2021/04/15
1262;11;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2021/05/20
1263;11;Hotel K;Salvador (BH);4;263.41;1053.64;2021/05/27
1268;11;Hotel A;Florianopolis (SC);4;313.02;1252.08;2021/07/01
1270;11;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/07/15
1271;11;Hotel AU;Recife (PE);3;312.83;938.49;2021/07/22
1274;11;Hotel A;Florianopolis (SC);2;313.02;626.04;2021/08/12
1276;11;Hotel A;Florianopolis (SC);1;313.02;313.02;2021/08/26
1278;11;Hotel Z;Aracaju (SE);3;208.04;624.12;2021/09/09
1280;11;Hotel BP;Brasilia (DF);3;247.62;742.86;2021/09/23
1281;11;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/09/30
1282;11;Hotel BD;Natal (RN);4;242.88;971.52;2021/10/07
1283;11;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2021/10/14
1289;11;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2021/11/25
1290;11;Hotel Z;Aracaju (SE);3;208.04;624.12;2021/12/02
1292;11;Hotel K;Salvador (BH);2;263.41;526.82;2021/12/16
1294;11;Hotel K;Salvador (BH);4;263.41;1053.64;2021/12/30
1299;11;Hotel BD;Natal (RN);1;242.88;242.88;2022/02/03
